Glass Type,Thickness (mm),Length (m),Width (m),Aspect Ratio,None-Factor Load (kPa),Deflection (mm),Glass Type Factor (ShortLoad),Glass Type Factor (LongLoad),Load Share Factor (LSF),Load Resistance (kPa),Load Duration Factor
Heat-Strengthened,19,4.63,3.09,1.5,1.36,0.58,2,1.3,0.802,3.39,0.72
Laminated,10,4.18,3.47,1.2,2.29,3.94,3.8,2.85,0.759,11.47,0.64
Heat-Strengthened,16,3.5,4.42,0.79,2.71,0.44,2,1.3,0.757,7.16,0.31
Heat-Strengthened,6,4.77,3.79,1.26,1.51,18.66,2,1.3,0.328,9.21,0.93
Annealed,10,1.89,3.23,0.59,2.15,0.17,1,0.43,0.793,2.71,0.31
Heat-Strengthened,16,2.97,1.83,1.62,1.44,0.32,2,1.3,0.81,3.56,0.93
Fully Tempered,19,4.81,2.76,1.74,2.17,1.33,4,3,0.834,10.41,0.64
Annealed,4,2.42,4.08,0.59,2.66,6.83,1,0.43,0.446,5.96,0.55
Laminated,12,4.83,2.05,2.36,2.14,7.14,3.8,2.85,0.847,9.6,1
Laminated,4,3.92,3.6,1.09,2.53,50.66,3.8,2.85,0.391,24.59,1
Laminated,12,2.62,4.28,0.61,1.37,0.17,3.8,2.85,0.836,6.23,0.31
Annealed,4,2.12,1.07,1.98,2.11,13.51,1,0.43,0.494,4.27,0.83
Heat-Strengthened,4,1.96,1.67,1.17,2.28,6.15,2,1.3,0.79,5.77,0.83
Annealed,5,2.93,2.51,1.17,1.16,5.32,1,0.43,0.584,1.99,0.93
Annealed,5,3.43,3.43,1,0.86,5.42,1,0.43,0.746,1.15,0.31
Heat-Strengthened,6,4.4,4.32,1.02,2.33,18.29,2,1.3,0.855,5.45,0.31
Annealed,6,3.84,2.76,1.39,1.69,12.04,1,0.43,0.792,2.13,1
Heat-Strengthened,4,3.98,2.42,1.64,2.76,97.07,2,1.3,0.755,7.31,0.93
Laminated,4,2.46,3.14,0.78,0.93,3.31,3.8,2.85,0.849,4.16,1
Fully Tempered,5,1.81,3.65,0.5,1.07,0.49,4,3,0.635,6.74,0.43
Heat-Strengthened,10,4.69,3.36,1.4,2.33,6.56,2,1.3,0.789,5.91,0.31
Fully Tempered,12,2.54,3.8,0.67,1.44,0.18,4,3,0.861,6.69,0.55
Heat-Strengthened,8,1.36,1.91,0.71,0.62,0.04,2,1.3,0.535,2.32,0.83
Fully Tempered,5,3.73,1.41,2.65,1.38,32.9,4,3,0.527,10.47,0.93
Heat-Strengthened,19,4.43,3.81,1.16,2.06,0.59,2,1.3,0.756,5.45,0.31
Fully Tempered,19,4.28,3.34,1.28,0.96,0.27,4,3,0.71,5.41,0.55
Annealed,8,1.64,4.78,0.34,2.88,0.17,1,0.43,0.565,5.1,0.31
Laminated,19,3.62,3.49,1.04,0.56,0.08,3.8,2.85,0.862,2.47,0.36
Laminated,19,1.27,1.97,0.64,1.83,0.01,3.8,2.85,0.733,9.49,0.55
Annealed,4,4.25,3.39,1.25,2.31,67.87,1,0.43,0.497,4.65,0.93
Laminated,12,2.8,2.95,0.95,2.44,0.57,3.8,2.85,0.712,13.02,0.31
Annealed,4,4.69,2.29,2.05,1.2,86,1,0.43,0.898,1.34,0.93
Laminated,12,4.78,4.98,0.96,2.05,2.43,3.8,2.85,0.71,10.97,0.43
Heat-Strengthened,19,2.01,1.1,1.83,1.33,0.06,2,1.3,0.726,3.66,0.31
Heat-Strengthened,4,4.5,4.9,0.92,1.71,43.69,2,1.3,0.678,5.04,0.64
Fully Tempered,19,3.17,2.94,1.08,0.87,0.09,4,3,0.785,4.43,0.64
Heat-Strengthened,5,1.74,2.67,0.65,2.44,1.31,2,1.3,0.422,11.56,0.43
Annealed,16,4.64,4.85,0.96,1.21,0.55,1,0.43,0.843,1.44,0.55
Annealed,8,4.64,3.64,1.27,2.18,10.59,1,0.43,0.635,3.43,0.83
Heat-Strengthened,5,4.81,3.07,1.57,1.23,37.25,2,1.3,0.615,4,0.43
Annealed,8,2.54,1.51,1.68,1.8,2.1,1,0.43,0.862,2.09,0.64
Heat-Strengthened,10,3.1,1.47,2.11,2.13,2.91,2,1.3,0.795,5.36,0.93
Laminated,5,3.08,3.59,0.86,1.05,4.11,3.8,2.85,0.869,4.59,0.93
Laminated,12,1.15,1.43,0.8,1.59,0.02,3.8,2.85,0.821,7.36,1
Laminated,6,3.48,3.71,0.94,1.47,5.26,3.8,2.85,0.377,14.82,0.64
Fully Tempered,19,1.67,1.44,1.16,0.7,0.01,4,3,0.886,3.16,0.72
Heat-Strengthened,12,1.39,4.43,0.31,0.51,0,2,1.3,0.834,1.22,0.93
Heat-Strengthened,8,4.6,1.67,2.75,0.86,9.78,2,1.3,0.734,2.34,0.64
Annealed,16,2.15,4.31,0.5,2.84,0.07,1,0.43,0.723,3.93,0.31
Heat-Strengthened,19,3.12,3.89,0.8,2.17,0.15,2,1.3,0.835,5.2,0.64
Laminated,10,4.44,3.35,1.33,0.69,1.56,3.8,2.85,0.773,3.39,0.43
Laminated,16,1.25,3.56,0.35,1.67,0.01,3.8,2.85,0.843,7.53,0.83
Heat-Strengthened,8,3.19,2.53,1.26,1.72,2.69,2,1.3,0.572,6.01,0.55
Laminated,6,1.04,2.21,0.47,1.26,0.06,3.8,2.85,0.863,5.55,0.72
Fully Tempered,6,4.05,4.08,0.99,1.8,10.74,4,3,0.502,14.34,0.72
Heat-Strengthened,12,3.8,2.13,1.78,1.41,1.73,2,1.3,0.731,3.86,0.31
Fully Tempered,4,4.48,1.21,3.7,0.54,60.98,4,3,0.434,4.98,0.55
Heat-Strengthened,10,1.05,3.71,0.28,2.48,0.02,2,1.3,0.705,7.04,0.43
Fully Tempered,6,1.57,3.8,0.41,2.73,0.39,4,3,0.411,26.57,0.72
Laminated,4,1.56,3.54,0.44,1.85,0.94,3.8,2.85,0.621,11.32,1
Annealed,19,3.32,2.48,1.34,2.93,0.41,1,0.43,0.765,3.83,0.43
Fully Tempered,5,4.46,4.13,1.08,1.62,24.26,4,3,0.48,13.5,0.31
Annealed,10,3.86,3.21,1.2,0.87,1.18,1,0.43,0.796,1.09,0.64
Heat-Strengthened,10,2.95,2.29,1.29,2.24,1.45,2,1.3,0.854,5.25,0.72
Heat-Strengthened,19,2.47,2.25,1.1,2.1,0.1,2,1.3,0.855,4.91,0.93
Annealed,8,1.15,1.27,0.91,2.62,0.14,1,0.43,0.469,5.59,0.72
Laminated,4,2.53,2.48,1.02,0.61,3.08,3.8,2.85,0.651,3.56,1
Laminated,12,4.53,4.69,0.97,1.1,1.12,3.8,2.85,0.853,4.9,0.31
Laminated,19,4.83,3.12,1.55,0.75,0.41,3.8,2.85,0.81,3.52,1
Annealed,8,2.08,1.69,1.23,2.26,0.96,1,0.43,0.532,4.25,0.93
Heat-Strengthened,16,4.21,2.51,1.68,2.08,1.38,2,1.3,0.899,4.63,0.72
Laminated,19,4.04,1.98,2.04,1.27,0.54,3.8,2.85,0.896,5.39,0.36
Heat-Strengthened,8,1.84,4.69,0.39,2.16,0.2,2,1.3,0.754,5.73,0.43
Heat-Strengthened,10,1.33,2.88,0.46,2.97,0.06,2,1.3,0.727,8.17,0.83
Fully Tempered,8,3.13,3.7,0.85,1.74,1.72,4,3,0.609,11.43,0.72
Fully Tempered,6,2.19,1.32,1.66,2.84,4.97,4,3,0.856,13.27,0.93
Fully Tempered,16,3.59,1.12,3.21,0.67,0.53,4,3,0.868,3.09,0.64
Laminated,10,1.62,2.19,0.74,2.87,0.18,3.8,2.85,0.878,12.42,0.93
Heat-Strengthened,19,2.27,4.47,0.51,1.21,0.02,2,1.3,0.835,2.9,0.43
Annealed,10,1.54,4.19,0.37,1.41,0.04,1,0.43,0.892,1.58,0.72
Heat-Strengthened,10,1.36,4.67,0.29,0.99,0.01,2,1.3,0.756,2.62,0.36
Fully Tempered,8,4.43,3.91,1.13,2.4,9.02,4,3,0.447,21.48,0.43
Heat-Strengthened,12,3.89,4,0.97,1.41,0.91,2,1.3,0.763,3.7,0.93
Fully Tempered,16,3.3,1.67,1.98,1.97,0.74,4,3,0.73,10.79,0.72
Laminated,12,4.08,3.97,1.03,2.86,2.26,3.8,2.85,0.861,12.62,0.93
Heat-Strengthened,19,2.2,4.14,0.53,1.32,0.02,2,1.3,0.838,3.15,0.93
Annealed,19,2.11,3.78,0.56,2.2,0.03,1,0.43,0.783,2.81,0.31
Heat-Strengthened,6,4,2.43,1.65,0.55,5.82,2,1.3,0.835,1.32,1
Fully Tempered,5,1.17,4.3,0.27,1.21,0.08,4,3,0.324,14.94,0.31
Annealed,4,3.72,3.97,0.94,0.97,14.28,1,0.43,0.866,1.12,0.36
Annealed,19,3.27,2.99,1.09,1.88,0.2,1,0.43,0.803,2.34,0.93
Heat-Strengthened,6,2.3,4.54,0.51,2.76,1.54,2,1.3,0.772,7.15,0.36
Heat-Strengthened,8,4.39,2.81,1.56,2.77,15.52,2,1.3,0.522,10.61,0.64
Fully Tempered,6,4.68,2.91,1.61,2.85,47.22,4,3,0.824,13.83,1
Heat-Strengthened,5,4.62,2.62,1.76,1.66,50.13,2,1.3,0.545,6.09,1
Annealed,10,4.13,4.58,0.9,2.65,3.29,1,0.43,0.767,3.46,1
Laminated,6,3.33,1.68,1.98,0.72,5.3,3.8,2.85,0.373,7.34,0.31
Heat-Strengthened,16,1.89,1.6,1.18,1.95,0.07,2,1.3,0.701,5.56,0.31
Annealed,8,1.7,4.33,0.39,0.78,0.06,1,0.43,0.735,1.06,0.36
Heat-Strengthened,8,4.28,2.94,1.46,2.96,12.89,2,1.3,0.812,7.29,0.43
Heat-Strengthened,10,3.49,3.71,0.94,2.53,1.98,2,1.3,0.781,6.48,0.64
Annealed,12,4.23,3.53,1.2,2.12,2.17,1,0.43,0.778,2.72,0.64
Heat-Strengthened,16,3,4.56,0.66,1.28,0.11,2,1.3,0.855,2.99,0.36
Annealed,10,1.84,2.27,0.81,2.73,0.27,1,0.43,0.761,3.59,0.55
Annealed,16,4.49,2.71,1.66,2.08,1.65,1,0.43,0.759,2.74,0.55
Fully Tempered,8,1.68,4.16,0.4,1.8,0.13,4,3,0.336,21.43,0.31
Heat-Strengthened,16,3.83,1.01,3.79,0.95,1.07,2,1.3,0.833,2.28,0.83
Heat-Strengthened,10,3.46,3.52,0.98,2.27,1.81,2,1.3,0.894,5.08,0.64
Annealed,10,1.68,4.45,0.38,0.67,0.02,1,0.43,0.821,0.82,0.72
Annealed,19,3.06,1.9,1.61,0.69,0.1,1,0.43,0.774,0.89,0.83
Annealed,19,3.09,1.19,2.6,2.45,0.59,1,0.43,0.862,2.84,0.83
Annealed,16,4.15,4.45,0.93,2.49,0.79,1,0.43,0.762,3.27,0.72
Annealed,8,3.45,1.84,1.88,1.19,3.88,1,0.43,0.484,2.46,0.83
Laminated,10,1.44,1.63,0.88,2.74,0.14,3.8,2.85,0.746,13.96,1
Annealed,5,2.5,4.76,0.53,3,3.85,1,0.43,0.682,4.4,0.31
Fully Tempered,8,2.68,1.47,1.82,1.56,2.32,4,3,0.355,17.58,0.83
Annealed,6,1.56,1.72,0.91,1.57,0.49,1,0.43,0.444,3.54,0.36
Fully Tempered,8,4.66,1.92,2.43,2.11,21.97,4,3,0.67,12.6,0.43
Heat-Strengthened,5,2.41,4.28,0.56,0.65,0.8,2,1.3,0.735,1.77,0.31
Heat-Strengthened,4,1.75,1.08,1.62,2.99,8.81,2,1.3,0.699,8.56,0.31
Heat-Strengthened,8,1.92,1.17,1.64,0.97,0.48,2,1.3,0.435,4.46,0.55
Heat-Strengthened,19,3.9,4.24,0.92,2.71,0.42,2,1.3,0.873,6.21,0.93
Fully Tempered,10,4.56,3.26,1.4,0.96,2.49,4,3,0.853,4.5,0.64
Fully Tempered,5,3.55,4.13,0.86,1.09,6.55,4,3,0.829,5.26,0.93
Annealed,16,1.7,1.87,0.91,2.8,0.06,1,0.43,0.753,3.72,0.43
Heat-Strengthened,12,3.39,4.81,0.7,2.87,0.89,2,1.3,0.746,7.69,1
Annealed,5,2.36,4.36,0.54,0.63,0.7,1,0.43,0.787,0.8,0.64
Heat-Strengthened,6,1.52,4.98,0.31,2.19,0.21,2,1.3,0.548,7.99,0.43
Heat-Strengthened,12,2.5,4.06,0.62,1.89,0.21,2,1.3,0.842,4.49,1
Annealed,12,2.08,2.49,0.84,0.86,0.07,1,0.43,0.8,1.07,0.72
Fully Tempered,5,4.09,2.39,1.71,2.78,56.53,4,3,0.888,12.52,0.93
Annealed,6,3.99,2.1,1.9,1.79,21.71,1,0.43,0.539,3.32,0.72
Fully Tempered,10,3.42,3.36,1.02,0.83,0.66,4,3,0.725,4.58,0.55
Heat-Strengthened,16,3.26,1.71,1.91,0.55,0.19,2,1.3,0.745,1.48,0.55
Laminated,5,2.64,3.02,0.87,1.26,3.17,3.8,2.85,0.456,10.5,0.43
Annealed,4,3.84,3.6,1.07,1,18.44,1,0.43,0.315,3.17,1
Fully Tempered,5,1.27,3.55,0.36,0.68,0.08,4,3,0.801,3.4,0.93
Laminated,5,3.58,1.67,2.14,1.54,26.31,3.8,2.85,0.842,6.95,0.64
Fully Tempered,6,4.04,2.58,1.57,0.98,10.17,4,3,0.756,5.19,0.36
Laminated,19,2.36,2.86,0.83,0.63,0.02,3.8,2.85,0.865,2.77,0.31
Fully Tempered,10,4.56,3.7,1.23,2.57,5.87,4,3,0.746,13.78,0.55
Laminated,19,1.74,3.39,0.51,2.43,0.02,3.8,2.85,0.854,10.81,0.36
Laminated,12,4.61,1.64,2.81,1,3.46,3.8,2.85,0.818,4.65,0.31
Laminated,19,3.95,4.58,0.86,0.95,0.14,3.8,2.85,0.828,4.36,0.64
Annealed,19,2.13,4.25,0.5,1.19,0.02,1,0.43,0.798,1.49,0.93
Heat-Strengthened,5,4.15,3.64,1.14,2.13,27.13,2,1.3,0.659,6.46,0.31
Annealed,12,4.52,3.31,1.37,2.72,3.88,1,0.43,0.819,3.32,0.31
Laminated,8,2.34,3.83,0.61,2.42,0.72,3.8,2.85,0.593,15.51,0.43
Annealed,12,3.55,4.66,0.76,2.68,1.03,1,0.43,0.745,3.6,0.93
Heat-Strengthened,4,4.24,3.28,1.29,1.62,48.73,2,1.3,0.415,7.81,0.83
Fully Tempered,19,1.84,4.42,0.42,1.65,0.01,4,3,0.798,8.27,0.93
Annealed,19,1.19,3.55,0.34,0.71,0,1,0.43,0.89,0.8,0.36
Annealed,6,2.52,3.17,0.79,1.51,1.74,1,0.43,0.377,4.01,0.31
Heat-Strengthened,8,4.32,2.87,1.51,2.81,14.46,2,1.3,0.647,8.69,0.64
Annealed,6,3.77,4.9,0.77,1.03,3.84,1,0.43,0.347,2.97,0.72
Heat-Strengthened,6,2.18,4.77,0.46,2.83,1.21,2,1.3,0.777,7.28,0.72
Annealed,12,2.9,3.85,0.75,0.67,0.14,1,0.43,0.842,0.8,1
Heat-Strengthened,8,1.26,1.91,0.66,2.96,0.15,2,1.3,0.543,10.9,0.83
Annealed,10,4.98,1.35,3.69,0.98,9.69,1,0.43,0.897,1.09,0.43
Annealed,5,2.28,3.8,0.6,2.46,2.73,1,0.43,0.783,3.14,0.55
Laminated,6,4.14,2.3,1.8,2.45,31.45,3.8,2.85,0.477,19.52,0.31
Laminated,6,3.27,1.45,2.26,2.05,16.25,3.8,2.85,0.611,12.75,0.83
Laminated,4,3.36,2.5,1.34,2.33,36.26,3.8,2.85,0.44,20.12,0.31
Heat-Strengthened,16,2.74,1.33,2.06,1.18,0.27,2,1.3,0.887,2.66,0.55
Fully Tempered,12,1.91,1.38,1.38,2.21,0.24,4,3,0.781,11.32,0.64
Heat-Strengthened,19,3.24,3.01,1.08,2.93,0.31,2,1.3,0.775,7.56,0.55
Laminated,12,4.71,2.87,1.64,1.87,4.03,3.8,2.85,0.895,7.94,0.43
Heat-Strengthened,12,4.15,1.34,3.1,2.08,5.78,2,1.3,0.796,5.23,0.64
Heat-Strengthened,4,1.85,1.26,1.47,1.91,5.42,2,1.3,0.851,4.49,0.83
Heat-Strengthened,19,3.23,1.47,2.2,2.77,0.65,2,1.3,0.896,6.18,0.93
Annealed,12,4.48,3.19,1.4,2.37,3.38,1,0.43,0.779,3.04,0.72
Fully Tempered,12,1.63,1.32,1.23,2.48,0.15,4,3,0.865,11.47,0.43
Laminated,6,3.06,4.74,0.65,1.94,3.25,3.8,2.85,0.812,9.08,0.64
Heat-Strengthened,8,4.83,4.84,1,1.35,5.79,2,1.3,0.348,7.76,0.83
Annealed,4,2.18,2.53,0.86,2.07,5.64,1,0.43,0.316,6.55,1
Annealed,8,2.87,3.75,0.77,1.2,0.83,1,0.43,0.844,1.42,1
Annealed,10,2.6,2.56,1.02,2.65,0.92,1,0.43,0.855,3.1,1
Annealed,5,4.51,2.38,1.89,2.19,66.12,1,0.43,0.814,2.69,0.43
Laminated,5,2.84,4.59,0.62,2.98,6.6,3.8,2.85,0.599,18.9,0.55
Fully Tempered,4,2.85,3.94,0.72,2.23,11.4,4,3,0.714,12.49,1
Laminated,12,1.87,3.94,0.47,2.77,0.1,3.8,2.85,0.711,14.8,1
Heat-Strengthened,16,4.41,1.5,2.94,0.67,0.9,2,1.3,0.792,1.69,0.43
Heat-Strengthened,19,3.69,1.85,1.99,2.47,0.78,2,1.3,0.761,6.49,0.55
Heat-Strengthened,12,1.46,4.47,0.33,1.55,0.02,2,1.3,0.706,4.39,0.31
Heat-Strengthened,16,2.05,4.97,0.41,2.6,0.04,2,1.3,0.709,7.33,0.55
Fully Tempered,10,4.27,3.36,1.27,0.8,1.55,4,3,0.748,4.28,0.83
Fully Tempered,6,3.36,3.41,0.99,0.68,2.3,4,3,0.408,6.67,0.55
Fully Tempered,8,2.48,1.14,2.18,1.59,2.24,4,3,0.706,9.01,1
Heat-Strengthened,16,4.75,4.97,0.96,0.85,0.42,2,1.3,0.895,1.9,0.83
Laminated,6,4.97,4.09,1.22,1.64,22.13,3.8,2.85,0.783,7.96,0.31
Fully Tempered,19,3.61,3.61,1,0.71,0.1,4,3,0.73,3.89,0.31
Heat-Strengthened,19,1.96,2.19,0.89,0.69,0.01,2,1.3,0.813,1.7,0.64
Fully Tempered,4,4.67,3.95,1.18,2.24,82.34,4,3,0.509,17.6,0.93
Fully Tempered,5,3.57,2.9,1.23,0.61,5.34,4,3,0.394,6.19,0.83
Annealed,10,1.04,3.52,0.3,1.52,0.01,1,0.43,0.866,1.76,0.55
Annealed,6,3.96,3.64,1.09,0.67,4.09,1,0.43,0.57,1.18,0.64
Heat-Strengthened,16,4.94,2.29,2.16,0.94,1.3,2,1.3,0.863,2.18,0.93
Heat-Strengthened,16,4.69,2.42,1.94,0.95,1.01,2,1.3,0.895,2.12,0.31
Laminated,19,2.41,1.98,1.22,2.47,0.12,3.8,2.85,0.899,10.44,0.64
Laminated,8,3.63,4.01,0.91,1.15,1.9,3.8,2.85,0.481,9.09,0.55
Laminated,12,2.9,1.29,2.25,2.47,1.7,3.8,2.85,0.873,10.75,0.64
Annealed,19,3.89,3.65,1.07,2.45,0.44,1,0.43,0.746,3.28,0.83
Laminated,8,4.35,1.33,3.27,0.6,6.85,3.8,2.85,0.366,6.23,0.93
Laminated,10,2.76,4.4,0.63,0.58,0.15,3.8,2.85,0.758,2.91,0.72
Annealed,19,3.31,2.93,1.13,2.35,0.27,1,0.43,0.749,3.14,0.93
Heat-Strengthened,8,2.87,1.31,2.19,1.06,2.33,2,1.3,0.524,4.05,0.83
Annealed,6,3.06,3.93,0.78,2.61,5.27,1,0.43,0.392,6.66,0.83
Annealed,10,3.59,4.2,0.85,1.26,0.97,1,0.43,0.718,1.75,0.83
Fully Tempered,5,3.13,2.59,1.21,2.76,15.99,4,3,0.651,16.96,0.55
Annealed,4,3.29,2.2,1.5,2.33,37.88,1,0.43,0.457,5.1,0.55
Fully Tempered,6,2.94,4.43,0.66,2,3.05,4,3,0.741,10.8,0.72
Annealed,4,4.3,3.22,1.34,1.05,34.03,1,0.43,0.504,2.08,0.64
Annealed,12,3.19,3.82,0.84,0.78,0.24,1,0.43,0.852,0.92,0.55
Laminated,5,2.73,1.62,1.69,0.89,5.3,3.8,2.85,0.889,3.8,0.93
Fully Tempered,16,4.71,1.09,4.32,2.81,6.72,4,3,0.725,15.5,0.31
Laminated,8,4.42,1.43,3.09,1.9,21.5,3.8,2.85,0.507,14.24,0.83
Fully Tempered,8,2.95,3.38,0.87,1.25,1.07,4,3,0.602,8.31,0.31
Heat-Strengthened,19,4.35,1.69,2.57,0.5,0.34,2,1.3,0.741,1.35,1
Fully Tempered,8,4.83,3.93,1.23,2.59,13.69,4,3,0.883,11.73,0.43
Laminated,5,2.81,1.91,1.47,2.17,11.07,3.8,2.85,0.425,19.4,0.55
Annealed,12,2.48,4.38,0.57,2.33,0.23,1,0.43,0.853,2.73,0.31
Heat-Strengthened,4,2.25,2.83,0.8,1.61,4.45,2,1.3,0.671,4.8,0.31
Heat-Strengthened,4,1.47,1.14,1.29,0.98,1.23,2,1.3,0.312,6.28,0.31
Laminated,19,3.55,1.35,2.63,2.1,0.78,3.8,2.85,0.766,10.42,0.64
Annealed,5,2.09,3.31,0.63,2.66,2.4,1,0.43,0.899,2.96,0.43
Laminated,6,1.68,3.48,0.48,2.75,0.57,3.8,2.85,0.63,16.59,0.83
Annealed,12,3.33,3.27,1.02,1.16,0.49,1,0.43,0.814,1.43,0.93
Annealed,16,1.65,4.42,0.37,2.2,0.02,1,0.43,0.813,2.71,0.55
Annealed,10,2.58,4.58,0.56,2.86,0.54,1,0.43,0.737,3.88,0.43
Fully Tempered,6,3.01,4.21,0.71,1.1,1.94,4,3,0.333,13.21,0.83
Fully Tempered,19,3.84,1.63,2.36,1.85,0.78,4,3,0.871,8.5,0.83
Annealed,8,2.27,4.43,0.51,0.8,0.18,1,0.43,0.518,1.54,0.83
Laminated,6,4.62,1.2,3.85,1.46,55.71,3.8,2.85,0.567,9.78,0.36
Fully Tempered,12,3.08,1.39,2.22,2.47,2.01,4,3,0.801,12.33,0.83
Fully Tempered,16,3.2,1.17,2.74,3,1.43,4,3,0.872,13.76,0.55
Fully Tempered,16,4.84,3.01,1.61,2.61,2.52,4,3,0.88,11.86,0.55
Fully Tempered,5,2.02,3.57,0.57,1.13,0.82,4,3,0.648,6.98,0.93
Heat-Strengthened,19,3.94,1.31,3.01,2.83,1.65,2,1.3,0.712,7.95,0.31
Fully Tempered,16,4.03,3.32,1.21,2.71,1.03,4,3,0.723,14.99,0.64
Annealed,5,3.27,4.78,0.68,0.77,2.88,1,0.43,0.725,1.06,0.64
Fully Tempered,6,1.92,4.16,0.46,0.88,0.26,4,3,0.302,11.66,1
Heat-Strengthened,4,2.97,4.28,0.69,2.53,14.04,2,1.3,0.879,5.76,0.31
Fully Tempered,16,2.38,1.45,1.64,1.06,0.12,4,3,0.842,5.04,0.93
Annealed,16,4.76,2.88,1.65,0.99,0.94,1,0.43,0.82,1.21,0.43
Fully Tempered,10,1.44,1.2,1.2,2.01,0.14,4,3,0.754,10.66,0.55
Annealed,12,2.29,4.21,0.54,2.09,0.15,1,0.43,0.758,2.76,0.55
Heat-Strengthened,19,3.84,3.44,1.12,1.55,0.28,2,1.3,0.864,3.59,0.55
Heat-Strengthened,4,4.94,1.71,2.89,2.9,342.59,2,1.3,0.804,7.21,0.43
Heat-Strengthened,8,4.4,3.6,1.22,2.29,9.1,2,1.3,0.315,14.54,0.72
Laminated,6,3.09,4.32,0.72,2.22,4.24,3.8,2.85,0.478,17.65,0.36
Heat-Strengthened,12,3.77,4.72,0.8,1.98,0.96,2,1.3,0.896,4.42,0.55
Laminated,16,1.1,2.91,0.38,0.72,0,3.8,2.85,0.727,3.76,0.31
Laminated,16,4.63,4.2,1.1,1.86,0.97,3.8,2.85,0.751,9.41,0.83
Annealed,8,4.15,3.79,1.09,2.98,8.9,1,0.43,0.548,5.44,0.83
Fully Tempered,10,3.52,2.32,1.52,0.52,0.75,4,3,0.763,2.73,0.93
Heat-Strengthened,19,1.13,2.49,0.45,0.82,0,2,1.3,0.875,1.87,0.83
Heat-Strengthened,6,3.47,2.2,1.58,1.55,10.27,2,1.3,0.662,4.68,0.55
Fully Tempered,19,1.05,3.52,0.3,2.05,0,4,3,0.789,10.39,0.64
Fully Tempered,19,2.58,4.99,0.52,1.63,0.04,4,3,0.708,9.21,0.31
Fully Tempered,16,2.58,2.32,1.11,2.29,0.21,4,3,0.75,12.21,0.55
Annealed,4,2.28,2.53,0.9,1.73,5.64,1,0.43,0.575,3.01,0.64
Laminated,6,2.62,2.29,1.14,2.28,4.24,3.8,2.85,0.309,28.04,0.83
Annealed,16,2.51,1.31,1.92,2.58,0.41,1,0.43,0.736,3.51,0.83
Fully Tempered,19,1.6,2.51,0.64,0.63,0,4,3,0.72,3.5,0.36
Fully Tempered,5,4.42,4.4,1,1.88,25.49,4,3,0.466,16.14,0.83
Heat-Strengthened,5,3.34,1.53,2.18,2.41,34.04,2,1.3,0.595,8.1,0.55
Annealed,10,1.57,1.85,0.85,0.51,0.03,1,0.43,0.716,0.71,0.55
Heat-Strengthened,4,3.83,4.6,0.83,1.63,23.28,2,1.3,0.501,6.51,0.36
Annealed,4,1.9,4.82,0.39,1.29,1.06,1,0.43,0.578,2.23,0.64
Fully Tempered,16,4.89,3.95,1.24,1.98,1.37,4,3,0.749,10.57,0.93
Annealed,6,2.93,1.08,2.71,1.79,12.28,1,0.43,0.441,4.06,0.83
Heat-Strengthened,10,3.88,3.87,1,2.87,3.28,2,1.3,0.746,7.69,1
Annealed,5,2.15,4.73,0.45,2.67,1.89,1,0.43,0.532,5.02,0.55
Annealed,6,2.69,5,0.54,1.83,1.73,1,0.43,0.643,2.85,0.72
Laminated,12,4.54,4.73,0.96,2.72,2.76,3.8,2.85,0.869,11.89,0.55
Annealed,6,1.27,3.37,0.38,1.6,0.11,1,0.43,0.594,2.69,1
Fully Tempered,8,2.6,1.37,1.9,2.48,3.51,4,3,0.664,14.94,0.31
Fully Tempered,6,3.57,4.42,0.81,2.26,7.51,4,3,0.481,18.79,0.31
Fully Tempered,12,2.2,4.26,0.52,2.57,0.16,4,3,0.892,11.52,0.55
Laminated,16,2.97,3.09,0.96,2.95,0.35,3.8,2.85,0.815,13.75,0.55
Annealed,10,2.96,4.6,0.64,1.66,0.54,1,0.43,0.884,1.88,0.64
Laminated,10,3.26,1.78,1.83,1.28,1.76,3.8,2.85,0.831,5.85,0.64
Annealed,6,3.23,3.6,0.9,2.61,7.14,1,0.43,0.566,4.61,0.36
Annealed,6,3,3.6,0.83,2.54,5.17,1,0.43,0.896,2.83,0.36
Laminated,10,3.12,3.75,0.83,2.53,1.25,3.8,2.85,0.731,13.15,0.55
Fully Tempered,16,2.99,4.18,0.72,2.12,0.19,4,3,0.707,11.99,0.55
Annealed,10,3.11,3.01,1.03,2.64,1.6,1,0.43,0.818,3.23,0.64
Laminated,5,4.42,3.48,1.27,2.47,42.34,3.8,2.85,0.439,21.38,1
Annealed,4,1.52,4.25,0.36,2.84,1.09,1,0.43,0.671,4.23,0.72
Fully Tempered,4,4.33,4.12,1.05,1.51,39.33,4,3,0.374,16.15,0.93
Heat-Strengthened,16,1.52,3.21,0.47,1.71,0.01,2,1.3,0.859,3.98,0.36
Annealed,19,4.78,2.71,1.76,1.23,0.75,1,0.43,0.88,1.4,1
Annealed,10,4.03,1.77,2.28,2.77,8.96,1,0.43,0.774,3.58,0.83
Annealed,12,2.49,3.22,0.77,1.63,0.22,1,0.43,0.795,2.05,0.83
Heat-Strengthened,4,4.31,1.26,3.42,1.43,132.84,2,1.3,0.393,7.28,0.43
Laminated,4,3.67,4.7,0.78,1.3,15.32,3.8,2.85,0.829,5.96,0.93
Annealed,10,3.88,4.97,0.78,1.44,1.28,1,0.43,0.859,1.68,0.43
